ARTIST,ALBUM,CURRENT,GENRE,CONTENT TAGS,NOTES,LINK,ADDED,RELEASE DATE,LABEL
FKA twigs,EUSEXUA Afterglow,1280,,femcon,A revisit of one of 2025's best pop albums – highly recommended,https://www.youtube.com/playlist?list=PLxA687tYuMWhS6yjoDlog5Gu79aFUJO-h,11/20/2025,11/14/2025,Atlantic
Jeremy Dower,"Personal Computer Music, 1997-2022",1281,,jammer pick,Abstracted Berlin-school/hardware-oriented electro/idm from Australia – cheers to Dave K. for the suggestion!,https://jeremydowermusic.bandcamp.com/album/personal-computer-music-1997-2022,11/20/2025,11/14/2025,Chapter Music
pigeon pit,Leash Aggression,1260,,lgbtq,"Folk punk from Olympia, Washington ",https://pigeonpit.bandcamp.com/album/leash-aggression,11/20/2025,11/7/2025,Ernest Jenning Record Co.
Bad Trips,Nothing But Trouble,1270,,,"Kraut/psych rock explorations from Queens, NY",https://badtripsny.bandcamp.com/album/nothing-but-trouble,11/20/2025,11/7/2025,Prolific Recordings
Khruangbin,The Universe Smiles Upon You ii,1237,,"femcon,jammer pick",The legends of funk & groove rehash one of their first and notable releases with more of a psych/surf rock touch – recommended by Mr. T!,https://khruangbin.bandcamp.com/album/the-universe-smiles-upon-you-ii,11/20/2025,11/6/2025,Dead Oceans
Emi Pop,No Te Voy a Extrañar,1259,,femcon,Electropop/pop punk from Seattle ,https://emipop.bandcamp.com/album/no-te-voy-a-extra-ar,11/20/2025,11/5/2025,Fink City
Hollerado,Start A Band,1261,,,Toronto indie,https://hollerado.bandcamp.com/album/start-a-band,11/20/2025,11/4/2025,
Joyeria,Graceful Degradation,1238,,,"Gloomy indie with post-rock influences from London, UK ",https://joyeria.bandcamp.com/album/graceful-degradation,11/20/2025,10/31/2025,Speedy Wunderground
Snocaps,Snocaps,1240,,femcon,"Warm, lofi indie folk vibes from LA ",https://snocaps.bandcamp.com/album/snocaps,11/20/2025,10/31/2025,Epitaph
Sara Devoe,"Come away, O human child!",1249,,femcon,Polished indie folk/pop from Brooklyn – recommended,https://saradevoe.bandcamp.com/album/come-away-o-human-child,11/20/2025,10/31/2025,
Jamie Lidell & Luke Schneider,A Companion For The Spaces Between Dreams,1271,,,"Drone-y, pedal steel-driven ambient from Nashville, Tennessee – full of great warbly tape textures! ",https://lukeschneider.bandcamp.com/album/a-companion-for-the-spaces-between-dreams,11/20/2025,10/31/2025,
